function,k_factor,seed,best_value,simple_regret,n_evaluations,final_domain_size,total_time,mean_adaptive_threshold,n_domain_resets,min_domain_size,max_domain_size
ackley2d,0.9,6,3.1094973025155785,3.1094973025155785,630,252,10.08055591583252,0.08353811720723045,1,7,2500
ackley2d,0.9,7,4.689850444658159,4.689850444658159,630,30,10.026455163955688,0.08434324902674237,1,8,2500
ackley2d,0.9,8,4.569186184433306,4.569186184433306,630,23,10.740720987319946,0.03527242499086363,1,23,2500
ackley2d,0.9,9,2.755731254526563,2.755731254526563,630,37,10.196166038513184,0.06485581541010141,1,11,2500
ackley2d,1.0,0,3.1094973025155785,3.1094973025155785,630,22,10.897144556045532,0.03800760581765675,1,22,2500
ackley2d,1.0,1,6.0032020575998,6.0032020575998,630,43,12.885115385055542,0.04199127339821879,1,31,2500
ackley2d,1.0,2,4.893697727420008,4.893697727420008,630,24,12.840026140213013,0.047244183048281034,1,20,2500
ackley2d,1.0,3,5.7317852938208205,5.7317852938208205,630,20,9.68888807296753,0.04308601075894304,1,20,2500
ackley2d,1.0,4,3.6749813605328936,3.6749813605328936,630,31,11.535253763198853,0.03423572836183637,1,31,2500
ackley2d,1.0,5,2.698705196570334,2.698705196570334,630,25,11.181269407272339,0.03697612996389764,1,25,2500
ackley2d,1.0,6,3.1094973025155785,3.1094973025155785,630,252,9.80263614654541,0.08686430413267451,1,7,2500
ackley2d,1.0,7,4.689850444658159,4.689850444658159,630,30,10.024371147155762,0.08897764864094022,1,8,2500
ackley2d,1.0,8,4.569186184433306,4.569186184433306,630,23,10.45218563079834,0.03744619243365105,1,23,2500
ackley2d,1.0,9,2.755731254526563,2.755731254526563,630,37,10.178163290023804,0.06824169357749423,1,11,2500
rosenbrock2d,0.3,0,0.3268943715489924,0.3268943715489924,630,2500,2.777522087097168,0.006398799879975994,0,2500,2500
rosenbrock2d,0.3,1,0.14032331731833408,0.14032331731833408,630,2500,2.854271173477173,0.006398799879975996,0,2500,2500
rosenbrock2d,0.3,2,0.3268943715489924,0.3268943715489924,630,2500,2.8291850090026855,0.006398799879975996,0,2500,2500
rosenbrock2d,0.3,3,0.3268943715489924,0.3268943715489924,630,2500,2.738572120666504,0.006398799879975996,0,2500,2500
rosenbrock2d,0.3,4,0.3268943715489924,0.3268943715489924,630,2500,2.752326011657715,0.006398799879975996,0,2500,2500
rosenbrock2d,0.3,5,0.3268943715489924,0.3268943715489924,630,2500,2.7044084072113037,0.006398799879975996,0,2500,2500
rosenbrock2d,0.3,6,4.758388190676474,4.758388190676474,630,2500,2.7430477142333984,0.006400630207941625,0,2500,2500
rosenbrock2d,0.3,7,0.14032331731833408,0.14032331731833408,630,2500,2.9423437118530273,0.006398799879975994,0,2500,2500
rosenbrock2d,0.3,8,1.2249062890462106,1.2249062890462106,630,2500,2.7444279193878174,0.006398799879975996,0,2500,2500
rosenbrock2d,0.3,9,5.591641584852614,5.591641584852614,630,2500,2.7885525226593018,0.006398799879975996,0,2500,2500
