function,k_samples,p_threshold,epsilon,seed,simple_regret,cumulative_regret,n_evaluations,total_time,best_value,final_domain_size
branin,35,0.3,0.1,101,0.14546928279938853,36717.464801179114,630,9.616779327392578,0.5433562827993885,2500
branin,35,0.3,0.1,102,0.153086403751847,35060.99898138051,630,9.431384325027466,0.550973403751847,2500
branin,35,0.3,0.1,103,0.07480380217855298,35509.29113375818,630,9.749528884887695,0.47269080217855297,2500
branin,35,0.3,0.1,104,0.153086403751847,35300.81808646022,630,9.501067638397217,0.550973403751847,2500
branin,35,0.3,0.1,105,0.006605697787159026,33242.06386651018,630,9.84993290901184,0.404492697787159,2500
branin,35,0.3,0.1,106,0.009019962044670815,35624.02471957377,630,11.114651203155518,0.4069069620446708,2500
branin,35,0.3,0.1,107,0.006605697787159026,35324.37355299575,630,9.971760034561157,0.404492697787159,2500
branin,35,0.3,0.1,108,0.009019962044670815,34545.58587759544,630,9.934641361236572,0.4069069620446708,2500
branin,35,0.3,0.1,109,0.16005592324075557,33517.30479853945,630,9.609307050704956,0.5579429232407556,2500
branin,35,0.3,0.1,110,0.009019962044670815,32258.103340211677,630,9.8575758934021,0.4069069620446708,2500
branin,35,0.3,0.1,111,0.0972357826887994,34109.61703254026,630,10.995593309402466,0.4951227826887994,2500
branin,35,0.3,0.1,112,0.07480380217855298,34562.206938123905,630,9.514073848724365,0.47269080217855297,2500
branin,35,0.3,0.1,113,0.052375427876019454,32477.920450320034,630,10.49762773513794,0.45026242787601944,2500
branin,35,0.3,0.1,114,0.006605697787159026,34934.755080268995,630,9.783482313156128,0.404492697787159,2500
branin,35,0.4,0.1,100,0.46165131668899917,34095.670027945045,630,9.499170064926147,0.8595383166889992,2500
branin,35,0.4,0.1,101,0.14546928279938853,36717.464801179114,630,9.703889846801758,0.5433562827993885,2500
branin,35,0.4,0.1,102,0.153086403751847,35060.99898138051,630,9.496140241622925,0.550973403751847,2500
branin,35,0.4,0.1,103,0.07480380217855298,35509.29113375818,630,9.950545072555542,0.47269080217855297,2500
branin,35,0.4,0.1,104,0.153086403751847,35300.81808646022,630,9.621283531188965,0.550973403751847,2500
branin,35,0.4,0.1,105,0.006605697787159026,33242.06386651018,630,9.852692604064941,0.404492697787159,2500
branin,35,0.4,0.1,106,0.009019962044670815,35624.02471957377,630,11.247967720031738,0.4069069620446708,2500
branin,35,0.4,0.1,107,0.006605697787159026,35324.37355299575,630,9.955774784088135,0.404492697787159,2500
branin,35,0.4,0.1,108,0.009019962044670815,34545.58587759544,630,10.1872878074646,0.4069069620446708,2500
branin,35,0.4,0.1,109,0.16005592324075557,33517.30479853945,630,9.678262710571289,0.5579429232407556,2500
branin,35,0.4,0.1,110,0.009019962044670815,32258.103340211677,630,10.160318613052368,0.4069069620446708,2500
branin,35,0.4,0.1,111,0.0972357826887994,34109.61703254026,630,10.780526161193848,0.4951227826887994,2500
branin,35,0.4,0.1,112,0.07480380217855298,34562.206938123905,630,9.76157832145691,0.47269080217855297,2500
branin,35,0.4,0.1,113,0.052375427876019454,32477.920450320034,630,10.080601215362549,0.45026242787601944,2500
