method,function,seed,best_value,simple_regret,n_evaluations,final_domain_size,total_time
BPG-DS-v2,rosenbrock2d,0,0.3268943715489924,0.3268943715489924,630,2500,2.664623498916626
BPG-DS-v2,rosenbrock2d,1,0.14032331731833408,0.14032331731833408,630,2500,2.883608341217041
BPG-DS-v2,rosenbrock2d,2,0.3268943715489924,0.3268943715489924,630,2500,2.909207344055176
BPG-DS-v2,rosenbrock2d,3,0.3268943715489924,0.3268943715489924,630,2500,2.749333620071411
BPG-DS-v2,rosenbrock2d,4,0.3268943715489924,0.3268943715489924,630,2500,2.8825790882110596
BPG-DS-v2,rosenbrock2d,5,0.3268943715489924,0.3268943715489924,630,2500,2.803788423538208
BPG-DS-v2,rosenbrock2d,6,4.758388190676474,4.758388190676474,630,2500,3.2666704654693604
BPG-DS-v2,rosenbrock2d,7,0.14032331731833408,0.14032331731833408,630,2500,2.825761318206787
BPG-DS-v2,rosenbrock2d,8,1.2249062890462106,1.2249062890462106,630,2500,2.633258581161499
BPG-DS-v2,rosenbrock2d,9,5.591641584852614,5.591641584852614,630,2500,2.9943718910217285
BPG-DS-v2,rosenbrock2d,10,0.14032331731833408,0.14032331731833408,630,2500,2.7864532470703125
BPG-DS-v2,rosenbrock2d,11,0.8069525730376466,0.8069525730376466,630,2500,2.844728469848633
BPG-DS-v2,rosenbrock2d,12,0.8069525730376466,0.8069525730376466,630,2500,3.2576799392700195
BPG-DS-v2,rosenbrock2d,13,0.14032331731833408,0.14032331731833408,630,2500,2.79367733001709
BPG-DS-v2,rosenbrock2d,14,1.225335618696985,1.225335618696985,630,2500,2.974904775619507
